SEASON_ID,MATCH_ID,GROUP_ROUND_NO,VENUE_NAME,PERSON_ID,FULLNAME,SQUAD_NAME,Position,OPP_SQUAD_NAME,SQUAD_MARGIN,WL,WLD,BEHIND,CLEARANCE,CONTESTED_MARK,CONTESTED_POSSESSION,CONTESTED_POSSESSION_POST,CONTESTED_POSSESSION_PRE,DISPOSAL,EFFECTIVE_DISPOSAL,EFFECTIVE_HANDBALL,EFFECTIVE_KICK,GOAL,HANDBALL,HARD_BALL_GET,HITOUT,IN50_KICK,INSIDE_50,INTERCEPT,KICK,LONG_KICK,MARK,MARK_ON_LEAD,METRES_GAINED_EFF,MISSED_TACKLE,PLY_PRESS_PTS,POINTS,RATING,SMOTHER,SPOIL,TACKLE,TOTAL_GAINED_METRES,TURNOVER,UNCONTESTED_MARK
2023,266569840,1,MCG,250395,Jack Riewoldt,Richmond,Key Fwd,Carlton,0,0,0,0,1,4,10,9,1,12,10,3,7,1,3,0,1,3,4,3,9,0,6,1,139,0,39.3,6,18.2,1,0,5,197.6,3,2
2023,266569840,1,MCG,270146,Ed Curnow,Carlton,Mid Fwd,Richmond,0,0,0,0,1,0,2,1,1,14,8,2,6,0,2,1,0,4,4,1,12,1,6,0,182,0,17.4,0,3.9,0,0,4,300.3,5,6
2023,266569840,1,MCG,270896,Trent Cotchin,Richmond,Mid Fwd,Carlton,0,0,0,0,4,0,11,4,7,18,12,7,5,0,9,3,0,3,3,3,9,3,3,1,178,1,33.45,0,8.2,1,1,3,263.7,5,3
2023,266569840,1,MCG,280819,Dylan Grimes,Richmond,Key Def,Carlton,0,0,0,0,0,1,4,4,0,12,11,4,7,0,4,1,0,0,0,6,8,2,5,0,89,1,12,0,6.4,0,3,2,111,1,4
2023,266569840,1,MCG,290627,Dion Prestia,Richmond,Mid,Carlton,0,0,0,1,5,0,13,5,8,23,17,10,7,0,13,1,0,2,2,5,10,4,4,0,158,1,25.5,1,7.9,1,0,1,316.3,4,4
2023,266569840,1,MCG,290847,Dustin Martin,Richmond,Gen Fwd,Carlton,0,0,0,0,1,2,10,8,2,23,13,6,7,1,8,4,0,7,8,1,15,3,6,1,230,0,25.5,6,13.7,0,0,0,432.1,7,4
2023,266569840,1,MCG,293813,Tom Lynch,Richmond,Key Fwd,Carlton,0,0,0,3,2,4,9,7,2,10,6,1,5,3,1,2,1,0,1,0,9,1,6,1,118,0,17.7,21,13.2,0,3,0,176.7,2,2
2023,266569840,1,MCG,294036,George Hewett,Carlton,Mid,Richmond,0,0,0,0,8,0,14,4,10,28,20,14,6,0,18,3,0,1,2,2,10,0,5,0,39,0,30.75,0,12.5,0,0,4,122.6,2,5
2023,266569840,1,MCG,294592,Kamdyn McIntosh,Richmond,Wing,Carlton,0,0,0,0,1,0,4,3,1,17,12,4,8,0,6,0,0,3,3,2,11,3,5,0,139,0,23.85,0,2.3,2,0,3,262.7,3,5
2023,266569840,1,MCG,294674,Nick Vlastuin,Richmond,Gen Def,Carlton,0,0,0,1,0,0,2,2,0,11,9,2,7,0,2,1,0,1,2,4,9,3,4,1,156,0,25.35,1,4.2,0,4,2,208.7,1,4
