chain_number,Squad,from,to,Type,chains.start,chains.end,Dist_to_Goal
507,GWS GIANTS,Lachie Ash,Lachie Whitfield,Handball Effective,Kick-in,Turnover,150.6
507,GWS GIANTS,Lachie Whitfield,Xavier O'Halloran,Kick Effective Long,Kick-in,Turnover,148.6
509,GWS GIANTS,Lachie Ash,Lachie Whitfield,Handball Effective,Intercept,Turnover,132.2
509,GWS GIANTS,Lachie Whitfield,Toby Greene,Kick Ineffective,Intercept,Turnover,126.3
509,GWS GIANTS,Toby Greene,Jake Riccardi,Handball Effective,Intercept,Turnover,91.6
509,GWS GIANTS,Jake Riccardi,Xavier O'Halloran,Handball Effective,Intercept,Turnover,85.6
509,GWS GIANTS,Xavier O'Halloran,Josh Kelly,Handball Effective,Intercept,Turnover,100
511,GWS GIANTS,Toby Bedford,Tom Green,Handball Effective,Intercept,Turnover,64.5
511,GWS GIANTS,Tom Green,Xavier O'Halloran,Handball Effective,Intercept,Turnover,64.6
513,GWS GIANTS,Sam Taylor,Lachie Ash,Out on Full Kick In,Intercept,Turnover,155.1
513,GWS GIANTS,Lachie Ash,Harry Himmelberg,Kick Effective Short,Intercept,Turnover,148
515,GWS GIANTS,Tom Green,Stephen Coniglio,Handball Effective,Stoppage,Turnover,83.1
522,GWS GIANTS,Lachie Ash,Jesse Hogan,Kick Effective Long,Kick-in,Score,151
522,GWS GIANTS,Jesse Hogan,Callum M. Brown,Kick Effective Long,Kick-in,Score,112.6
529,GWS GIANTS,Callan Ward,Stephen Coniglio,Handball Effective,Stoppage,Turnover,148.1
531,GWS GIANTS,Harry Himmelberg,Connor Idun,Kick Effective Short,Kick-in,Score,151.6
531,GWS GIANTS,Connor Idun,Harry Himmelberg,Handball Effective,Kick-in,Score,147
531,GWS GIANTS,Harry Himmelberg,Josh Kelly,Kick Effective Short,Kick-in,Score,130.8
531,GWS GIANTS,Josh Kelly,Toby Greene,Kick Effective Long,Kick-in,Score,109.3
531,GWS GIANTS,Toby Greene,Callum M. Brown,Kick Effective Short,Kick-in,Score,65.9
534,GWS GIANTS,Toby Greene,Josh Kelly,Handball Effective,Stoppage,Pre-Clearance Turnover,88.8
534,GWS GIANTS,Josh Kelly,Lachie Whitfield,Handball Effective,Stoppage,Pre-Clearance Turnover,86.8
536,GWS GIANTS,Sam Taylor,Lachie Whitfield,Handball Effective,Intercept,Turnover,151
536,GWS GIANTS,Lachie Whitfield,Josh Kelly,Handball Effective,Intercept,Turnover,147.6
539,GWS GIANTS,Aaron Cadman,Josh Kelly,Handball Effective,Stoppage,Turnover,86.3
539,GWS GIANTS,Josh Kelly,Callan Ward,Handball Effective,Stoppage,Turnover,91.8
539,GWS GIANTS,Callan Ward,Stephen Coniglio,Kick Effective Short,Stoppage,Turnover,95.7
541,GWS GIANTS,Callan Ward,Aaron Cadman,Handball Effective,Intercept,Turnover,66.2
543,GWS GIANTS,Connor Idun,Jack Buckley,Handball Effective,Intercept,Turnover,140.7
543,GWS GIANTS,Jack Buckley,Sam Taylor,Handball Effective,Intercept,Turnover,145.7
543,GWS GIANTS,Sam Taylor,Jacob Wehr,Handball Effective,Intercept,Turnover,144.8
547,GWS GIANTS,Connor Idun,Nick Haynes,Kick Effective Short,Intercept,Score,149.5
547,GWS GIANTS,Nick Haynes,Stephen Coniglio,Kick Effective Short,Intercept,Score,148.1
547,GWS GIANTS,Stephen Coniglio,Harry Himmelberg,Handball Effective,Intercept,Score,126.8
547,GWS GIANTS,Harry Himmelberg,Callan Ward,Handball Effective,Intercept,Score,107.7
547,GWS GIANTS,Callan Ward,Stephen Coniglio,Handball Effective,Intercept,Score,96.7
547,GWS GIANTS,Stephen Coniglio,Josh Kelly,Handball Effective,Intercept,Score,95.3
547,GWS GIANTS,Josh Kelly,Kieren Briggs,Handball Effective,Intercept,Score,69.9
547,GWS GIANTS,Kieren Briggs,Stephen Coniglio,Handball Effective,Intercept,Score,66.3
547,GWS GIANTS,Stephen Coniglio,Harvey Thomas,Handball Effective,Intercept,Score,63.5
547,GWS GIANTS,Harvey Thomas,Harvey Thomas,Kick Ineffective,Intercept,Score,46.4
547,GWS GIANTS,Harvey Thomas,Callum M. Brown,Kick Effective Short,Intercept,Score,43.9
548,GWS GIANTS,Callan Ward,Tom Green,Handball Effective,Stoppage,Score,91.8
548,GWS GIANTS,Tom Green,Xavier O'Halloran,Handball Effective,Stoppage,Score,92.7
548,GWS GIANTS,Xavier O'Halloran,Brent Daniels,Kick Effective Short,Stoppage,Score,81.6
548,GWS GIANTS,Brent Daniels,Kieren Briggs,Kick Effective Long,Stoppage,Score,51.1
548,GWS GIANTS,Xavier O'Halloran,Toby Bedford,Handball Effective,Stoppage,Turnover,38.8
550,GWS GIANTS,Tom Green,Aaron Cadman,Kick Ineffective,Intercept,Score,70
552,GWS GIANTS,Kieren Briggs,Tom Green,Handball Effective,Intercept,Score,75.3
552,GWS GIANTS,Tom Green,Callan Ward,Handball Effective,Intercept,Score,75.4
552,GWS GIANTS,Callan Ward,Tom Green,Handball Effective,Intercept,Score,80.4
552,GWS GIANTS,Tom Green,Jacob Wehr,Kick Effective Short,Intercept,Score,86.3
552,GWS GIANTS,Jacob Wehr,Aaron Cadman,Kick Effective Long,Intercept,Score,53.1
558,GWS GIANTS,Stephen Coniglio,Josh Kelly,Handball Effective,Intercept,Score,71.3
558,GWS GIANTS,Josh Kelly,Lachie Ash,Handball Effective,Intercept,Score,62.5
