SEASON_ID,GROUP_ROUND,MATCH_ID,shots.period,shots.periodSecs,shots.player.displayName,PERSON_ID,shots.squad.code,SQUAD_NAME,shots.details.angleGroup,shots.details.distanceGroup,shots.details.origin,shots.details.type,shots.details.location.x,shots.details.location.xStd,shots.details.location.y,shots.details.location.yStd,shots.details.locationRotated.x,shots.details.locationRotated.xStd,shots.details.locationRotated.y,shots.details.locationRotated.yStd,shots.result.name,shots.result.code,shots.result.points,shots.result.pointsExpected,shots.result.accuracyExpected,shots.score.homePoints,shots.score.awayPoints
2023,R01,266569840,1,35,D.Martin,290847,RICH,Richmond,Left Corridor,15-30m,General Play,General Play Snap,51.5,51.5,5,5,51.5,51.5,5,5,Goal,G,6,2.961187215,0.430365297,6,0
2023,R01,266569840,1,108,Z.Fisher,999827,CARL,Carlton,Left Acute,15-30m,General Play,General Play Snap,-59.8,-59.8,-17.7,-17.7,59.8,59.8,17.7,17.7,Goal,G,6,2.505882353,0.341176471,6,6
2023,R01,266569840,1,456,J.Silvagni,1001028,CARL,Carlton,Left Acute,15-30m,Mark,Set Shot Regular,-64.3,-64.3,-23.5,-23.5,64.3,64.3,23.5,23.5,Goal,G,6,4.263269639,0.66029724,6,12
2023,R01,266569840,1,615,J.Graham,990827,RICH,Richmond,Right Acute,15-30m,General Play,General Play Regular,66,66,-16,-16,66,66,-16,-16,Behind,B,1,3.4375,0.513888889,7,12
2023,R01,266569840,1,670,J.Graham,990827,RICH,Richmond,Right Boundary,15-30m,General Play,General Play Snap,69.5,69.5,-21.1,-21.1,69.5,69.5,-21.1,-21.1,Behind,B,1,1.857142857,0.230519481,8,12
2023,R01,266569840,1,748,T.Taranto,998172,RICH,Richmond,Right Corridor,30-40m,General Play,General Play Snap,45.5,45.5,-9.8,-9.8,45.5,45.5,-9.8,-9.8,Behind,B,1,2.217514124,0.299435028,9,12
2023,R01,266569840,1,921,N.Newman,297907,CARL,Carlton,Right Corridor,15-30m,General Play,General Play Snap,-50.9,-50.9,5.8,5.8,50.9,50.9,-5.8,-5.8,Missed Shot,M,0,2.765765766,0.396396396,9,12
2023,R01,266569840,1,1007,T.Lynch,293813,RICH,Richmond,Left Acute,15-30m,Mark,Set Shot Regular,63.5,63.5,23.6,23.6,63.5,63.5,23.6,23.6,Behind,B,1,4.263269639,0.66029724,10,12
2023,R01,266569840,1,1245,H.McKay,1000953,CARL,Carlton,In Front,15-30m,General Play,General Play Snap,-51.5,-51.5,-0.2,-0.2,51.5,51.5,0.2,0.2,Goal,G,6,3.4048583,0.511470985,10,18
2023,R01,266569840,1,1378,D.Prestia,290627,RICH,Richmond,Left Corridor,50m+,Mark,Set Shot Regular,29.5,29.5,27.4,27.4,29.5,29.5,27.4,27.4,Missed Shot,M,0,2.349334601,0.33269962,10,18
2023,R01,266569840,1,1507,J.Martin,296190,CARL,Carlton,Right Boundary,15-30m,General Play,General Play Snap,-66.3,-66.3,24.2,24.2,66.3,66.3,-24.2,-24.2,Behind,B,1,1.857142857,0.230519481,10,19
2023,R01,266569840,1,1687,D.Martin,290847,RICH,Richmond,Right Acute,50m+,Mark,Set Shot Regular,42.5,42.5,-44,-44,42.5,42.5,-44,-44,Missed Shot,M,0,1.732111693,0.232111693,10,19
2023,R01,266569840,2,50,T.De Koning,1004912,CARL,Carlton,Right Corridor,30-40m,General Play,General Play Snap,41.7,41.7,-6.1,-6.1,41.7,41.7,-6.1,-6.1,Behind,B,1,2.277777778,0.320987654,10,20
2023,R01,266569840,2,209,T.Taranto,998172,RICH,Richmond,Right Acute,15-30m,General Play,General Play Snap,-63.1,-63.1,24.6,24.6,63.1,63.1,-24.6,-24.6,Missed Shot,M,0,2.355353075,0.318906606,10,20
2023,R01,266569840,2,245,T.Taranto,998172,RICH,Richmond,Right Corridor,30-40m,General Play,General Play Regular,-41.9,-41.9,5.4,5.4,41.9,41.9,-5.4,-5.4,Missed Shot,M,0,2.217514124,0.299435028,10,20
2023,R01,266569840,2,367,M.Rioli,1009551,RICH,Richmond,Right Corridor,40-50m,Free Kick,Set Shot Regular,-33.6,-33.6,14.2,14.2,33.6,33.6,-14.2,-14.2,Goal,G,6,3.445456427,0.507555372,16,20
2023,R01,266569840,2,454,H.McKay,1000953,CARL,Carlton,Right Corridor,50m+,Mark,General Play Regular,25.6,25.6,-10,-10,25.6,25.6,-10,-10,Missed Shot,M,0,2.416967509,0.342960289,16,20
2023,R01,266569840,2,711,M.Owies,1013973,CARL,Carlton,Left Boundary,15-30m,General Play,General Play Snap,68.4,68.4,21.9,21.9,68.4,68.4,21.9,21.9,Behind,B,1,1.5,0.1875,16,21
2023,R01,266569840,2,837,B.Miller,1002403,RICH,Richmond,Right Acute,30-40m,Mark,Set Shot Regular,-59.6,-59.6,30,30,59.6,59.6,-30,-30,Missed Shot,M,0,3.118653422,0.444260486,16,22
2023,R01,266569840,2,1286,J.Martin,296190,CARL,Carlton,Right Corridor,50m+,Mark,Set Shot Regular,19.9,19.9,-7.9,-7.9,19.9,19.9,-7.9,-7.9,Missed Shot,M,0,2.312530237,0.326076439,16,22
2023,R01,266569840,2,1297,M.Owies,1013973,CARL,Carlton,Right Corridor,15-30m,General Play,General Play Snap,65.4,65.4,-11.1,-11.1,65.4,65.4,-11.1,-11.1,Goal,G,6,2.722482436,0.382903981,16,28
2023,R01,266569840,2,1494,M.Kennedy,1001398,CARL,Carlton,Right Boundary,30-40m,Mark,Set Shot Regular,67.5,67.5,-28.6,-28.6,67.5,67.5,-28.6,-28.6,Behind,B,1,2.049407115,0.264822134,16,29
