SQUAD_NAME,GROUP_ROUND_NO,SQUAD_MARGIN,CLEARANCE,CONTESTED_POSSESSION,EFFECTIVE_DISPOSAL,PLY_PRESS_PTS,TOTAL_GAINED_METRES,TURNOVER
Adelaide Crows,1,-16,33,111,242,613.35,6077.2,56
Adelaide Crows,2,-32,33,139,253,601.2,5950.1,62
Adelaide Crows,3,31,39,146,251,577.8,5882.4,50
Adelaide Crows,4,39,35,151,276,592.8,6096.5,71
Adelaide Crows,5,56,37,156,302,626.25,6373,67
Adelaide Crows,6,3,47,145,255,686.1,5902,66
Adelaide Crows,7,-1,25,143,260,636.75,5868.4,75
Adelaide Crows,8,-26,37,129,253,616.8,5275,68
Adelaide Crows,9,52,43,152,338,624,6201.9,65
Adelaide Crows,10,-45,50,129,198,792.6,5590.9,72
Adelaide Crows,11,17,51,149,250,730.5,6110.7,61
Adelaide Crows,12,-25,41,136,231,618.3,6520.2,74
Adelaide Crows,13,122,44,164,326,606.3,6885.9,62
Adelaide Crows,15,-2,36,137,268,706.2,5877.5,62
Adelaide Crows,16,66,46,144,290,759.45,6534.6,73
Adelaide Crows,17,-18,39,138,242,745.2,5948.1,76
Adelaide Crows,18,-14,40,158,247,748.05,5965.4,81
Adelaide Crows,19,-4,32,128,255,670.8,5897.9,64
Adelaide Crows,20,47,42,155,286,634.8,6630.6,66
Adelaide Crows,21,28,46,158,283,714.45,6362.9,69
Adelaide Crows,22,-6,44,133,274,609.15,5805.4,59
Adelaide Crows,23,-1,43,165,242,710.55,6016.8,82
Adelaide Crows,24,45,38,136,295,608.1,6348.7,57
Brisbane Lions,1,-54,38,116,181,650.4,5309.8,66
Brisbane Lions,2,11,60,151,234,625.5,5836.1,77
Brisbane Lions,3,-14,34,133,237,648.3,5598.1,80
Brisbane Lions,4,33,46,137,245,567.15,6079.9,75
Brisbane Lions,5,75,37,141,285,537.75,5790.5,61
Brisbane Lions,6,21,41,149,214,677.4,5942.1,75
Brisbane Lions,7,48,46,157,264,699.9,5726.6,74
Brisbane Lions,8,26,43,130,242,742.2,6096.6,79
Brisbane Lions,9,42,32,133,278,570.6,6436.9,57
Brisbane Lions,10,43,40,140,275,531.9,5838.7,59
Brisbane Lions,11,-17,57,157,200,711.6,6068.1,52
Brisbane Lions,13,-25,47,124,233,736.5,5462.9,77
Brisbane Lions,14,16,48,156,225,619.35,6336.7,69
Brisbane Lions,15,28,39,127,237,631.65,5785.6,69
Brisbane Lions,16,81,46,138,295,521.55,6613.2,73
Brisbane Lions,17,81,39,122,277,501.6,5670.2,45
Brisbane Lions,18,-1,32,125,245,680.55,5927.1,66
Brisbane Lions,19,11,50,140,261,607.8,5699.9,68
Brisbane Lions,20,-41,37,124,243,699.6,5370.1,63
Brisbane Lions,21,3,39,131,257,637.65,5276.6,53
Brisbane Lions,22,6,38,130,233,642.15,5827.6,61
Brisbane Lions,23,24,39,135,250,606.15,5733.8,54
Brisbane Lions,24,12,43,140,247,640.35,5403.4,59
Brisbane Lions,25,48,39,130,232,508.05,6245.6,65
Brisbane Lions,27,16,44,140,228,568.2,6414.6,79
Brisbane Lions,28,-4,44,122,222,607.95,6074.8,60
Carlton,1,0,32,148,241,580.65,5963.4,75
Carlton,2,8,32,136,273,648,5862.8,69
Carlton,3,10,38,147,299,603.9,6832.1,74
Carlton,4,23,30,132,286,719.4,6335.3,62
Carlton,5,-56,42,130,226,730.35,5378.2,70
Carlton,6,-22,31,140,341,606.75,5931.4,68
Carlton,7,108,43,138,354,661.8,6228.7,50
Carlton,8,-26,42,155,287,649.95,5717.1,75
Carlton,9,-20,36,149,254,596.85,5933,62
Carlton,10,-28,38,127,286,597.3,5609.7,72
Carlton,11,-26,37,144,267,715.5,5821.6,75
Carlton,12,-17,29,119,247,597.75,5701.6,78
Carlton,13,-34,26,129,289,513.15,5870.8,59
Carlton,14,59,45,135,274,638.1,6224.8,61
Carlton,16,60,39,144,288,758.25,5980.6,65
Carlton,17,53,41,155,287,639.9,6370.9,70
Carlton,18,50,42,151,255,715.05,6246.2,64
Carlton,19,71,57,143,276,690.6,6132.5,68
Carlton,20,17,41,142,242,666.75,6095.6,78
Carlton,21,19,46,146,303,678.75,6142.4,74
Carlton,22,4,43,148,279,798.15,5772.7,77
Carlton,23,4,35,167,271,699,6276.4,69
Carlton,24,-32,36,146,281,692.85,6372.8,76
Carlton,25,6,38,160,260,696.15,5875.9,78
Carlton,26,2,33,137,259,699.6,6249.9,92
Carlton,27,-16,30,135,245,570.45,6551.8,74
Collingwood,1,22,43,135,286,594.45,6293,61
Collingwood,2,71,39,155,253,543.6,5929.2,52
Collingwood,3,14,37,161,268,677.1,6478.9,71
Collingwood,4,-33,37,136,267,599.85,6104.2,62
Collingwood,5,6,31,126,298,763.65,6847.1,87
Collingwood,6,13,36,142,309,568.8,6142.3,59
Collingwood,7,1,46,143,226,662.55,6065.4,91
Collingwood,8,29,35,138,242,615.3,5719.2,74
Collingwood,9,65,30,125,318,663.75,5986.1,65
Collingwood,10,28,30,131,262,677.55,5864.1,71
Collingwood,11,35,33,127,269,661.8,5500.5,57
Collingwood,12,63,33,124,252,723.6,6522.3,53
Collingwood,13,-4,29,120,271,699.75,5941.1,80
Collingwood,15,2,41,134,258,716.4,6167.3,69
Collingwood,16,78,34,146,309,589.35,6661.6,66
